"lat","lon","name","type","address"
51.965251,5.663677,"Cafetaria 't Passantje"," restaurant food establishment","Kapelstraat Wageningen"
51.969018,5.667384,"Domino's Pizza Wageningen"," meal_takeaway restaurant meal_delivery food establishment","Stadsbrink 34 Wageningen"
51.96598,5.662341,"Pizzeria Grillroom Cleopatra"," restaurant food establishment","Junusstraat 8 Wageningen"
51.967138,5.664549,"Subway"," meal_takeaway restaurant meal_delivery food establishment","Hoogstraat 93 Wageningen"
51.968174,5.665933,"Cafetaria Het Stekkie"," restaurant food establishment","Gerdesstraat 2 Wageningen"
51.97098,5.669643,"Chinees afhaalrestaurant Eastern Express"," restaurant food establishment","Churchillweg 21 Wageningen"
51.965381,5.662548,"Brood- en Banketbakkerij van Voorthuizen"," bakery store meal_takeaway restaurant food establishment","Hoogstraat 14 Wageningen"
51.965021,5.661725,"Brasserie De Blije Boedha"," meal_takeaway restaurant food establishment","Hoogstraat 13 Wageningen"
51.966055,5.661815,"Morning Tales (by Greek Food Tales)"," store cafe restaurant food establishment","Junusstraat 45 Wageningen"
51.965887,5.66219,"Toko Radjawali"," meal_takeaway restaurant food establishment","Junusstraat 19 Wageningen"
51.968141,5.662127,"Jaap Venendaal Groep"," restaurant lodging food establishment","Lawickse Allee 9 Wageningen"
51.96608,5.662209,"Restaurant Ivory"," restaurant food establishment","Poststraat 8 Wageningen"
51.96732,5.667463,"Koekoekpizzapannenkoek"," restaurant food establishment","5 Mei Plein 13 Wageningen"
51.967212,5.665137,"Grand-café Suisse"," restaurant food establishment","Hoogstraat 88 Wageningen"
51.971147,5.670131,"United Pizza"," restaurant food establishment","Churchillweg 36A Wageningen"
51.971042,5.6697,"Cafetaria Bonnie & Clyde"," restaurant food establishment","Churchillweg 23 Wageningen"
51.96497,5.66413,"Café-Carré Eten & Drinken B.V."," restaurant food establishment","Vijzelstraat 2 Wageningen"
51.96703,5.668272,"Jeruzalem"," restaurant food establishment","Veerstraat 5 Wageningen"
51.967902,5.667364,"Sphinx Pizzeria-Steakhouse"," restaurant food establishment","Bevrijdingsstraat 9 Wageningen"
51.967534,5.665478,"Lunchcafe de Serre"," cafe restaurant food establishment","Stationsstraat 7 Wageningen"
51.965251,5.663677,"Cafetaria 't Passantje"," restaurant food establishment","Kapelstraat Wageningen"
51.969018,5.667384,"Domino's Pizza Wageningen"," meal_takeaway restaurant meal_delivery food establishment","Stadsbrink 34 Wageningen"
51.96598,5.662341,"Pizzeria Grillroom Cleopatra"," restaurant food establishment","Junusstraat 8 Wageningen"
51.967138,5.664549,"Subway"," meal_takeaway restaurant meal_delivery food establishment","Hoogstraat 93 Wageningen"
51.968174,5.665933,"Cafetaria Het Stekkie"," restaurant food establishment","Gerdesstraat 2 Wageningen"
51.97098,5.669643,"Chinees afhaalrestaurant Eastern Express"," restaurant food establishment","Churchillweg 21 Wageningen"
51.965381,5.662548,"Brood- en Banketbakkerij van Voorthuizen"," bakery store meal_takeaway restaurant food establishment","Hoogstraat 14 Wageningen"
51.965021,5.661725,"Brasserie De Blije Boedha"," meal_takeaway restaurant food establishment","Hoogstraat 13 Wageningen"
51.966055,5.661815,"Morning Tales (by Greek Food Tales)"," store cafe restaurant food establishment","Junusstraat 45 Wageningen"
51.965887,5.66219,"Toko Radjawali"," meal_takeaway restaurant food establishment","Junusstraat 19 Wageningen"
51.968141,5.662127,"Jaap Venendaal Groep"," restaurant lodging food establishment","Lawickse Allee 9 Wageningen"
51.96608,5.662209,"Restaurant Ivory"," restaurant food establishment","Poststraat 8 Wageningen"
51.96732,5.667463,"Koekoekpizzapannenkoek"," restaurant food establishment","5 Mei Plein 13 Wageningen"
51.965229,5.662386,"Bagels & Beans"," restaurant food establishment","Hoogstraat 10 Wageningen"
51.965229,5.662386,"Bagels & Beans"," restaurant food establishment","Hoogstraat 10 Wageningen"
51.965229,5.662386,"Bagels & Beans"," restaurant food establishment","Hoogstraat 10 Wageningen"
